Autor,Favs,RTs,Texto,Timestamp
TEE-RA-RA,0,614,"RT @ChefenBurry2: What would you rather do?👀

RT- Take a punch to the nose from full power Thanos

Like- Let James Charles breathe on you h…",2019-05-17 12:41:34
Jinnie / Mochi / Mel : pick one ♥️,0,0,"@JlNGERS Uhm, Jefree star, James Charles, Manny mua, Patrick,  and other beauty gurus who are men, uhmmm... They AL… https://t.co/pxHgex4jgP",2019-05-17 12:41:30
Code: Dx-Unknown,0,93,"RT @JamezyO2: Who is a better influence on the YouTube community 

rt for a piece of fucking celery
like for James Charles https://t.co/8wv…",2019-05-17 12:41:25
Philip Li,0,76,"RT @hurricane_colby: Bitches are really STILL gonna hate on James Charles after Tati said not to...it’s me, I’m bitches.",2019-05-17 12:41:16
Isaías Alviso,0,345,RT @RoyBrandoo: James Charles looking at everyone use the girl Snapchat filter https://t.co/NVGux8LdfW,2019-05-17 12:41:12
iona,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:41:06
nicholas,0,1017,RT @2019_predicts: Shane Dawson will do a series with James Charles.,2019-05-17 12:41:06
Shaneeks 💋,0,0,James Charles’ apology video is really fucking annoying to watch.,2019-05-17 12:41:00
Coco,0,3327,RT @nowthisisliving: why do I feel like the straight men that are upset about James Charles hitting on them are the same straight men that…,2019-05-17 12:40:59
sky,0,297,RT @SMOLNlNl: Baekhyun doing what James Charles couldn’t 😖https://t.co/9e2BnE5vZX,2019-05-17 12:40:56
supernova girl 👩🏾‍🎤,0,0,I put this nigga on GoT and James Charles drama all in one night lmao,2019-05-17 12:40:55
high inquisitor spaghetti,0,2393,"RT @augmc2: Who’s a better influence?

Retweet for Steve from Minecraft 
Like for James Charles https://t.co/OM7Z3srHEH",2019-05-17 12:40:54
🅱️ictor,0,0,"After having it explained to me, I still don’t have a working understanding of who James Charles is.

But he’s definitely an ass.",2019-05-17 12:40:54
MewtwoTheScout(Sub2DuelScreens),0,382,"RT @ImTheRealThanos: Let’s see what happens....

Retweet for me or like for James Charles..... https://t.co/OCtkWOspmQ",2019-05-17 12:40:52
Giovanni,0,0,Am I the only gay guy who doesn’t care about the James Charles?,2019-05-17 12:40:48
Melanie Vazquez ☯,0,77169,"RT @rafapupujol_: So this is the creditless look that James Charles did inspired by me 
(October17/July18): https://t.co/DnJQB8KKFV",2019-05-17 12:40:43
bear🏹,0,4858,RT @thelightalex: JAMES CHARLES REALLY PAID PAPARAZZI TO TAKE PHOTOS OF HIM LOOKING SAD SO THAT PEOPLE WOULD FEEL SORRY FOR HIM LMAO 😭😭😭😭😭…,2019-05-17 12:40:33
KaitlynCollier,0,528,RT @michaelgclump: When you have no idea who James Charles is but you keep seeing his name on your timeline. https://t.co/lC6fwVzmCd,2019-05-17 12:40:32
Nicole Bourque,0,6768,"RT @MatPatGT: In the wake of James Charles and ProJared, this needs to be said... https://t.co/TyVo4OlK1R",2019-05-17 12:40:30
david g. koigi,0,0,"Thank God! 
James Charles is gone. ..",2019-05-17 12:40:30
JMTeenYT,0,2393,"RT @augmc2: Who’s a better influence?

Retweet for Steve from Minecraft 
Like for James Charles https://t.co/OM7Z3srHEH",2019-05-17 12:40:29
Allison Cueva,0,58646,"RT @trashythot: in honor of this james charles scandal i’m offering everyone who retweets this $1,000 if we can get him down to 1 million s…",2019-05-17 12:40:27
♡♡♡,0,824,RT @fkaaura: James Charles is in no position to turn someone gay. That’s not his nor anyone else’s decision to make. Only lady gaga gets to…,2019-05-17 12:40:24
Liliana,0,39,"RT @BismuthPrince: @gabrielzamora MannyMUA gets canceled because of ""My Truth""
Gabriel: Keep it up
James Charles gets canceled because of ""…",2019-05-17 12:40:23
Scripturient Blogger,0,0,"NEW BLOG POST: Why I’m NOT Unsubscribing from James Charles…
https://t.co/0boB1gZech
#Marketing #sponsorship… https://t.co/tibp9dqUbk",2019-05-17 12:40:23
